"","year","yday","precip","tmax","tmin","id","date"
"2",2015,249,0,30.62,20.54,1,2015-09-06
"3",2015,250,0,31.48,21.01,1,2015-09-07
"4",2015,251,0,32.56,21.88,1,2015-09-08
"5",2015,252,0,27.15,20.92,1,2015-09-09
"6",2015,253,0,24.77,15.59,1,2015-09-10
"7",2015,254,38.15,24.85,12.73,1,2015-09-11
"8",2015,255,28.36,18.69,13.15,1,2015-09-12
"9",2007,253,9.93,16.48,13.3,3,2007-09-10
"10",2007,254,26.82,15.44,13.33,3,2007-09-11
"11",2007,255,0,20.33,11.8,3,2007-09-12
"12",2007,256,0,20.38,8.93,3,2007-09-13
"13",2007,257,0,17.95,9.92,3,2007-09-14
"14",2007,258,9.86,15.52,10.79,3,2007-09-15
"15",2007,259,0,17.1,5.48,3,2007-09-16
"16",2019,242,0,25.35,14.41,4,2019-08-30
"17",2019,243,0,23.88,12.25,4,2019-08-31
"18",2019,244,0,21.64,9.33,4,2019-09-01
"19",2019,245,7.57,18.92,9.98,4,2019-09-02
"20",2019,246,0,21.42,13.34,4,2019-09-03
"21",2019,247,1.6,19.34,12.98,4,2019-09-04
"22",2019,248,0,21.91,10.02,4,2019-09-05
"23",2012,234,0.79,24.97,12.74,5,2012-08-21
"24",2012,235,0,26.41,10.57,5,2012-08-22
"25",2012,236,1.67,28.35,11.97,5,2012-08-23
"26",2012,237,0,27.26,12.78,5,2012-08-24
"27",2012,238,0,26.93,11.6,5,2012-08-25
"28",2012,239,0,27.79,14.16,5,2012-08-26
"29",2012,240,1.91,28.37,14.49,5,2012-08-27
"30",2021,241,2.33,19.39,13.82,7,2021-08-29
"31",2021,242,3.46,26.66,16.09,7,2021-08-30
"32",2021,243,0,27.25,17.04,7,2021-08-31
"33",2021,244,36.29,23.01,14.47,7,2021-09-01
"34",2021,245,16.66,19.89,13.12,7,2021-09-02
"35",2021,246,4.6,21.78,11.18,7,2021-09-03
"36",2021,247,0,22.69,10.75,7,2021-09-04
"37",2019,241,0,25,12.61,9,2019-08-29
"38",2019,242,0,26.07,12.79,9,2019-08-30
"39",2019,243,0,23.24,11.46,9,2019-08-31
"40",2019,244,3.6,21.72,8.41,9,2019-09-01
"41",2019,245,13.7,17.95,10.34,9,2019-09-02
"42",2019,246,0,21.21,13.03,9,2019-09-03
"43",2019,247,4.36,21.13,13.45,9,2019-09-04
"44",2020,257,0,19.58,8.59,10,2020-09-13
"45",2020,258,0,23.15,11.87,10,2020-09-14
"46",2020,259,0,16.13,5.57,10,2020-09-15
"47",2020,260,0,19.63,8.26,10,2020-09-16
"48",2020,261,0,23.48,13.5,10,2020-09-17
"49",2020,262,0,17.5,9.06,10,2020-09-18
"50",2020,263,0,16.4,5.91,10,2020-09-19
"51",2021,231,14.07,25.54,18.9,11,2021-08-19
"52",2021,232,0,29.29,19.57,11,2021-08-20
"53",2021,233,0,26.47,19.06,11,2021-08-21
"54",2021,234,4.78,22.58,18.89,11,2021-08-22
"55",2021,235,1.09,24.91,18.35,11,2021-08-23
"56",2021,236,0,29.56,19.02,11,2021-08-24
"57",2021,237,0,31.06,18.56,11,2021-08-25
"58",2015,260,0,28.15,15.27,12,2015-09-17
"59",2015,261,0,28.03,15.36,12,2015-09-18
"60",2015,262,0,23.73,14.55,12,2015-09-19
"61",2015,263,0,21.83,13.25,12,2015-09-20
"62",2015,264,0,20.66,6.88,12,2015-09-21
"63",2015,265,0,18.65,8.97,12,2015-09-22
"64",2015,266,0,23.55,7.57,12,2015-09-23
"65",2008,253,13.92,19.48,12.25,13,2008-09-09
"66",2008,254,0,18.62,8.71,13,2008-09-10
"67",2008,255,0,18.88,5.18,13,2008-09-11
"68",2008,256,4.01,17.17,7.58,13,2008-09-12
"69",2008,257,0,22.8,12.72,13,2008-09-13
"70",2008,258,6.11,19.48,14.17,13,2008-09-14
"71",2008,259,0,26.47,14.46,13,2008-09-15
"72",2019,224,0,27.98,14.82,14,2019-08-12
"73",2019,225,4.08,25.79,16.75,14,2019-08-13
"74",2019,226,0,25.38,14.68,14,2019-08-14
"75",2019,227,0.93,25.39,13.71,14,2019-08-15
"76",2019,228,1.04,24.03,14.76,14,2019-08-16
"77",2019,229,1.14,20.88,16.43,14,2019-08-17
"78",2019,230,3.73,26.53,17.47,14,2019-08-18
"79",2019,254,0,24.85,12.01,15,2019-09-11
"80",2019,255,0,21.62,13.81,15,2019-09-12
"81",2019,256,0,18.84,8.23,15,2019-09-13
"82",2019,257,0,17.36,6.58,15,2019-09-14
"83",2019,258,0,23.06,11.03,15,2019-09-15
"84",2019,259,0,21.3,11.56,15,2019-09-16
"85",2019,260,0,19.41,9.19,15,2019-09-17
"86",2012,254,0,19.47,9.63,16,2012-09-10
"87",2012,255,0,19.94,6.82,16,2012-09-11
"88",2012,256,0,22.48,7.56,16,2012-09-12
"89",2012,257,0,24.79,9.19,16,2012-09-13
"90",2012,258,0,25.82,12.11,16,2012-09-14
"91",2012,259,0,23.2,12.93,16,2012-09-15
"92",2012,260,0,20.4,6.91,16,2012-09-16
"93",2012,257,0,24.88,9.42,17,2012-09-13
"94",2012,258,0,26.36,12.83,17,2012-09-14
"95",2012,259,0,24.03,14.79,17,2012-09-15
"96",2012,260,0,21.54,7.74,17,2012-09-16
"97",2012,261,0,19.74,4.05,17,2012-09-17
"98",2012,262,26.81,20.5,7.58,17,2012-09-18
"99",2012,263,0,20.93,11.6,17,2012-09-19
"100",2019,263,0,23.99,5.91,18,2019-09-20
"101",2019,264,0,26.71,11.09,18,2019-09-21
"102",2019,265,0,24.41,12.6,18,2019-09-22
"103",2019,266,19.21,25.1,18.22,18,2019-09-23
"104",2019,267,0,24.52,16.65,18,2019-09-24
"105",2019,268,0,21.98,12.4,18,2019-09-25
"106",2019,269,3.47,24.11,11.93,18,2019-09-26
"107",2012,253,0,24.12,15.41,19,2012-09-09
"108",2012,254,0,20.25,10.84,19,2012-09-10
"109",2012,255,0,20.69,7.27,19,2012-09-11
"110",2012,256,0,23.2,7.6,19,2012-09-12
"111",2012,257,0,25.63,9.26,19,2012-09-13
"112",2012,258,0,26.75,12.6,19,2012-09-14
"113",2012,259,0,24.14,14.3,19,2012-09-15
"114",2007,264,0,22.38,10.98,20,2007-09-21
"115",2007,265,0,22.28,14.23,20,2007-09-22
"116",2007,266,0,24.83,12.69,20,2007-09-23
"117",2007,267,0,26.04,9.84,20,2007-09-24
"118",2007,268,0,30.04,10.76,20,2007-09-25
"119",2007,269,0,32.96,17.11,20,2007-09-26
"120",2007,270,5.86,28.05,16.93,20,2007-09-27
"121",2012,256,0,24.21,9.64,21,2012-09-12
"122",2012,257,0,24.72,11.99,21,2012-09-13
"123",2012,258,0,24.95,12.52,21,2012-09-14
"124",2012,259,3,24.23,12.66,21,2012-09-15
"125",2012,260,0,22.25,9.06,21,2012-09-16
"126",2012,261,0,23.44,7.14,21,2012-09-17
"127",2012,262,20.17,24.72,11.37,21,2012-09-18
"128",2019,255,0,17.24,4.6,22,2019-09-12
"129",2019,256,0,17.68,1.64,22,2019-09-13
"130",2019,257,2.84,16.29,6.25,22,2019-09-14
"131",2019,258,0,15.76,9.25,22,2019-09-15
"132",2019,259,0,15.76,8.55,22,2019-09-16
"133",2019,260,0,14.03,5.32,22,2019-09-17
"134",2019,261,0,15.94,0.62,22,2019-09-18
"135",2021,250,0,25.34,13.41,24,2021-09-07
"136",2021,251,1.9,27.83,13.05,24,2021-09-08
"137",2021,252,17.63,23.09,18.25,24,2021-09-09
"138",2021,253,0,23.38,15.75,24,2021-09-10
"139",2021,254,0,23.94,9.57,24,2021-09-11
"140",2021,255,17.38,26.34,13.19,24,2021-09-12
"141",2021,256,0,24.75,15.69,24,2021-09-13
"142",2012,256,0,24.38,9.59,26,2012-09-12
"143",2012,257,0,24.88,11.95,26,2012-09-13
"144",2012,258,0,25.11,12.72,26,2012-09-14
"145",2012,259,2.44,24.31,12.67,26,2012-09-15
"146",2012,260,0,22.37,9.01,26,2012-09-16
"147",2012,261,0,23.56,7.13,26,2012-09-17
"148",2012,262,22.99,24.78,11.42,26,2012-09-18
"149",2017,266,0,24.73,14.45,27,2017-09-23
"150",2017,267,0,27.64,13.91,27,2017-09-24
"151",2017,268,0,28.99,14.6,27,2017-09-25
"152",2017,269,0,26.5,15.71,27,2017-09-26
"153",2017,270,0,29.76,16.57,27,2017-09-27
"154",2017,271,0,25.34,15.52,27,2017-09-28
"155",2017,272,8.9,20.5,7.95,27,2017-09-29
"156",2019,247,2.34,22.83,12.42,28,2019-09-04
"157",2019,248,0,22.38,8.78,28,2019-09-05
"158",2019,249,1.02,20.23,7.61,28,2019-09-06
"159",2019,250,0,19.44,8.89,28,2019-09-07
"160",2019,251,0,20.52,8.61,28,2019-09-08
"161",2019,252,0,20.3,5.58,28,2019-09-09
"162",2019,253,1.55,19.77,5.35,28,2019-09-10
"163",2016,263,38.29,23.48,20.38,29,2016-09-19
"164",2016,264,5.98,26.27,19.45,29,2016-09-20
"165",2016,265,0,27.92,15.72,29,2016-09-21
