ID#,date,julian,year,count,Town,State/Prov,lat,lon
1442187434,2015-09-12,254,2015,3000,Cleveland,OH,41.4994,-81.7145
222,2021-09-13,255,2021,30,Yarmouth Municipal District,NS,43.7,-66.1
1190595760,2007-09-16,258,2007,200,Mt. Desert Island,ME,44.2217,-68.3381
NA,2019-09-05,247,2019,1,Ellsworth,ME,44.5,-68.4
1348318480,2012-08-27,239,2012,100,Carmel,ME,44.8003,-69.0068
NA,2019-09-27,269,2019,500,Bristol,ME,43.8,-69.3
327,2021-09-04,246,2021,50,Bristol,ME,43.9,-69.5
29,2021-10-06,278,2021,50,New Harbor,ME,43.8,-69.5
NA,2019-09-04,246,2019,5,Waterville,ME,44.5,-69.6
178,2020-09-19,262,2020,200,Damariscove Island,ME,43.8,-69.6
379,2021-08-25,236,2021,1,Waterville,ME,44.5,-69.6
1443053143,2015-09-23,265,2015,22,Harpswell,ME,43.8017,-69.9842
1221529347,2008-09-15,258,2008,300,Freeport,ME,43.8592,-70.101
NA,2019-08-18,229,2019,8,Freeport,ME,43.8,-70.2
NA,2019-09-17,259,2019,100,Biddeford,ME,43.5,-70.4
1347799015,2012-09-16,259,2012,300,Wells,ME,43.3294,-70.6043
1348100864,2012-09-19,262,2012,1000,Kittery Point,ME,43.0982,-70.6886
NA,2019-09-26,268,2019,50,Woods Hole,MA,41.5,-70.7
1347900494,2012-09-15,258,2012,1000,Kittery,ME,43.0881,-70.7362
1282939577,2007-09-27,269,2007,200,Rye,NH,43.0109,-70.765
1348320226,2012-09-18,261,2012,1000,Aquinnah,MA,41.3334,-70.7995
NA,2019-09-18,260,2019,2,St-Benoît-Labre,QC,46.1,-70.8
233,2021-09-12,254,2021,162,Salisbury,MA,42.8,-70.8
216,2021-09-13,255,2021,50,Hampton,NH,42.9,-70.8
110,2022-09-24,266,2022,2000,Salisbury,MA,42.8,-70.8
1348285122,2012-09-18,261,2012,1000,Aquinnah,MA,41.3469,-70.8349
NA,2017-09-29,271,2017,12,Salem,MA,42.5,-70.9
NA,2019-09-10,252,2019,12,Effingham,NH,43.8,-71
NA,2016-09-25,268,2016,20,Little Compton,RI,41.5,-71.1
1190730554,2007-09-23,265,2007,300,Jamestown,RI,41.5154,-71.3776
1348429410,2012-09-15,258,2012,1000,Jamestown,RI,41.5154,-71.3776
1348658039,2012-09-23,266,2012,100,Montauk,NY,41.0447,-71.9496
180,2020-09-19,262,2020,50,Montauk,NY,41,-72
NA,2018-09-20,262,2018,1000,Orient,NY,41.2,-72.1
NA,2019-09-21,263,2019,221,Waterford,CT,41.3,-72.1
NA,2019-09-27,269,2019,2000,Great Gull Island,NY,41.2,-72.1
145,2020-09-24,267,2020,300,Orient,NY,41.2,-72.1
1348351110,2012-09-21,264,2012,100,Willimantic,CT,41.7064,-72.2076
1346168872,2012-08-27,239,2012,50,East Lyme,CT,41.3827,-72.2453
NA,2016-09-24,267,2016,24,Water Mill,NY,40.9,-72.3
NA,2018-09-01,243,2018,100,Claremont,NH,43.3,-72.3
NA,2017-10-05,277,2017,20,Hampton bays,NY,40.9,-72.5
NA,2018-09-18,260,2018,100,Amherst,MA,42.4,-72.5
144,2020-09-24,267,2020,60,Madison,CT,41.3,-72.5
196,2021-09-15,257,2021,10,Randolph Center,VT,43.9,-72.5
1347509939,2012-09-12,255,2012,500,Hampton Bays,NY,40.869,-72.5176
1285027871,2010-09-15,257,2010,300,Hampton Bays,NY,40.81,-72.5313
1287107966,2010-10-10,282,2010,200,Hampton Bays,NY,40.8837,-72.5313
1348171616,2012-09-14,257,2012,10000,Hampton Bays,NY,40.8837,-72.5313
NA,2018-09-22,264,2018,100,Madison,CT,41.3,-72.6
NA,2019-08-25,236,2019,6,Sunderland,MA,42.5,-72.6
1347390244,2012-09-11,254,2012,100,Quogue,NY,40.81,-72.6061
1191635947,2007-09-15,257,2007,100,Madison,CT,41.3389,-72.6278
1222179445,2008-09-22,265,2008,25,Madison,CT,41.3389,-72.6278
1442362901,2015-09-15,257,2015,10,madison,CT,41.3389,-72.6278
1348511153,2012-09-19,262,2012,50000,Westhampton Beach,NY,40.8315,-72.6445
NA,2017-10-06,278,2017,50,West hampton,NY,40.8,-72.7
92,2020-10-03,276,2020,35,Westhampton Beach,NY,40.8,-72.7
303,2021-09-06,248,2021,150,East Moriches,NY,40.8,-72.7
261,2021-09-09,251,2021,100,Branford,CT,41.3,-72.8
1316303245,2011-09-17,259,2011,20,East Haven,CT,41.2826,-72.8715
213,2021-09-13,255,2021,100,East Haven,CT,41.3,-72.9
1315662771,2011-09-09,251,2011,6,BURLINGTON,CT,41.7598,-72.9593
232,2020-09-14,257,2020,7,Patchogue,NY,40.7,-73
NA,2019-09-17,259,2019,50,Naugatuck,CT,41.5,-73.1
1286982940,2010-10-08,280,2010,100,Ocean Beach,NY,40.6529,-73.1221
1411861768,2014-09-27,269,2014,20,Stratford,CT,41.2068,-73.1321
1255563068,2009-10-10,282,2009,250,Hauppauge,NY,40.8131,-73.1911
1284950324,2010-09-17,259,2010,1000,Hauppauge,NY,40.8131,-73.1911
1319767868,2011-10-23,295,2011,100,Hauppauge,NY,40.8131,-73.1911
NA,2018-09-22,264,2018,2000,Babylon,NY,40.6,-73.2
NA,2019-09-18,260,2019,500,Fire Island,NY,40.6,-73.2
40,2020-10-09,282,2020,100,Bay Shore,NY,40.6,-73.2
202,2022-09-14,256,2022,100,Shelburne,VT,44.4,-73.2
65,2022-10-08,280,2022,150,Fire Island,NY,40.6,-73.2
1411340612,2014-09-21,263,2014,50,Charlotte,VT,44.266,-73.2216
1347979728,2012-09-15,258,2012,50,Ocean Pkwy,NY,40.6301,-73.2322
1316232012,2011-09-16,258,2011,600,Robert Moses Beach Babylon,NY,40.6232,-73.2598
1347336479,2012-09-10,253,2012,2300,Robert Moses Beach Babylon,NY,40.6232,-73.2598
1379300485,2013-09-14,256,2013,250,Robert Moses Beach,NY,40.62,-73.26
1444100607,2015-10-04,276,2015,340,Babylon Robert Moses Beach,NY,40.62,-73.26
NA,2016-09-24,267,2016,211,Babylon,NY,40.6,-73.3
NA,2017-10-11,283,2017,362,Babylon,NY,40.6,-73.3
NA,2018-09-30,272,2018,1380,Babylon,NY,40.6,-73.3
NA,2019-08-29,240,2019,1500,St-Jean-sur-Richelieu,QC,45.3,-73.3
NA,2019-09-26,268,2019,1400,Fire Island,NY,40.6,-73.3
333,2021-09-03,245,2021,44,Babylon,NY,40.6,-73.3
207,2021-09-14,256,2021,100,Northport,NY,40.9,-73.3
316,2022-08-29,240,2022,150,Saint-Jean-sur-Richelieu,QC,45.3,-73.3
NA,2017-10-06,278,2017,25,Norwalk,CT,41.1,-73.4
1192531127,2007-10-13,285,2007,75, jones beach state park,NY,40.5975,-73.5153
NA,2019-09-13,255,2019,200,Old Chatham,NY,42.4,-73.6
187,2022-09-15,257,2022,4,Stillwater,NY,43,-73.7
1346716320,2012-09-03,246,2012,70,Albany,NY,42.6529,-73.7487
1346616456,2012-09-01,244,2012,75,Mahopac,NY,41.3782,-73.7506
NA,2017-10-03,275,2017,100,Croton-on-Hudson,NY,41.2,-73.9
1192199809,2007-10-12,284,2007,200,Brooklyn,NY,40.6943,-73.9907
1318255032,2011-10-08,280,2011,50,Brooklyn,NY,40.6943,-73.9907
1284512985,2010-09-14,256,2010,200,Highlands,NJ,40.4009,-73.9912
NA,2017-10-09,281,2017,50,Brooklyn,NY,40.6,-74
253,2021-09-10,252,2021,3,Highlands,NJ,40.4,-74
1284518149,2010-09-14,256,2010,100,Lavallette,NJ,39.9807,-74.0686
1221686231,2008-09-17,260,2008,200,Staten Island,NY,40.6266,-74.0956
NA,2016-09-11,254,2016,6,Berkeley Township,NJ,39.9,-74.1
1192320217,2007-10-13,285,2007,200,Beach Haven,NJ,39.6433,-74.1849
NA,2018-10-03,275,2018,3,Beachwood,NJ,39.9,-74.2
NA,2019-10-02,274,2019,50,Belleville,NJ,40.8,-74.2
